name,lat,lon,name2,coast
567,57.731667,-152.511667,"KODIAK ISLAND,  WOMENS BAY",821
405,58.298333,-134.411667,JUNEAU,821
1070,59.44,-151.72,SELDOVIA,821
445,59.548333,-139.733333,YAKUTAT,821
266,60.12,-149.426667,SEWARD,821
566,60.558333,-145.751667,CORDOVA,821
1353,61.125,-146.361667,VALDEZ,821
1067,61.238333,-149.89,ANCHORAGE,821
166,48.416667,-123.366667,VICTORIA,822
1152,48.65,-123.45,PATRICIA BAY,822
1242,48.85,-125.133333,BAMFIELD,822
165,49.15,-125.916667,TOFINO,822
1245,49.2,-122.916667,NEW  WESTMINSTER,822
175,49.283333,-123.116667,VANCOUVER,822
193,49.333333,-123.25,POINT ATKINSON,822
1799,50.516667,-128.033333,WINTER HARBOUR,822
1071,50.716667,-127.483333,PORT HARDY,822
984,52.166667,-128.133333,BELLA BELLA,822
829,53.25,-132.066667,QUEEN CHARLOTTE CITY,822
167,54.316667,-130.333333,PRINCE RUPERT,822
158,32.713333,-117.173333,SAN DIEGO (QUARANTINE STATION),823
256,32.866667,-117.256667,LA JOLLA (SCRIPPS PIER),823
245,33.72,-118.271667,LOS ANGELES,823
377,34.008333,-118.5,SANTA MONICA (MUNICIPAL PIER),823
508,35.176667,-120.76,PORT SAN LUIS,823
1352,36.605,-121.886667,MONTEREY,823
437,37.771667,-122.298333,ALAMEDA (NAVAL AIR STATION),823
10,37.806667,-122.465,SAN FRANCISCO,823
1394,37.995,-122.976667,POINT REYES,823
2330,38.055,-122.04,"PORT CHICAGO, CALIFORNIA",823
2125,38.913333,-123.706667,"ARENA COVE, CALIFORNIA",823
1639,40.766667,-124.216667,"N. SPIT, HUMBOLDT BAY",823
1269,43.345,-124.321667,CHARLESTON II,823
1196,44.625,-124.041667,SOUTH BEACH,823
265,46.206667,-123.768333,ASTORIA (TONGUE POINT),823
1354,46.706667,-123.966667,"TOKE POINT, WILLIPA BAY, WA",823
127,47.601667,-122.338333,SEATTLE,823
1325,48.111667,-122.756667,PORT TOWNSEND,823
2127,48.125,-123.44,"PORT ANGELES, WASHINGTON",823
385,48.366667,-124.611667,NEAH BAY,823
384,48.546667,-123.01,FRIDAY HARBOR (OCEAN. LABS.),823
1633,48.863333,-122.756667,CHERRY POINT,823
163,8.966667,-79.566667,BALBOA,840
571,-36.683333,-73.1,TALCAHUANO,850
2261,-20.204444,-70.147778,IQUIQUE II,850
832,-34.566667,-58.4,PALERMO,860
563,21.108333,-76.125,GIBARA,930
759,17.97,-67.045,MAGUEYES ISLAND,938
1001,18.458333,-66.115,SAN JUAN,938
188,24.555,-81.806667,KEY WEST,940
497,26.06,-97.215,PORT ISABEL,940
1107,26.131667,-81.806667,NAPLES,940
520,27.76,-82.626667,ST. PETERSBURG,940
526,29.263333,-89.956667,GRAND ISLE,940
161,29.31,-94.793333,"GALVESTON II, PIER 21, TX",940
1193,29.726667,-84.981667,APALACHICOLA,940
395,32.033333,-80.901667,FORT PULASKI,960
234,32.781667,-79.925,CHARLESTON I,960
396,34.226667,-77.953333,WILMINGTON,960
2295,34.72,-76.67,"BEAUFORT, NORTH CAROLINA",960
1636,36.183333,-75.746667,DUCK PIER OUTSIDE,960
299,36.946667,-76.33,"SEWELLS POINT, HAMPTON ROADS",960
